,r,transition,subject,session,bestAction,trial,time,firstLevelAction,secondLevelAction,secState
1055,1,1,8,s70,L,89,386.38,L,R,BLINK_ON
1056,1,1,8,s70,L,90,390.49,L,R,BLINK_ON
1057,1,1,8,s70,L,91,394.66,L,R,BLINK_ON
1058,1,1,8,s70,L,92,399.78,L,R,HL_ON
1060,-1,-1,8,s70,L,94,410.33,L,L,BLINK_ON
1061,1,1,8,s70,L,95,416.08,L,R,BLINK_ON
1062,1,1,8,s70,L,96,421.91,L,R,BLINK_ON
1064,-1,1,8,s70,L,98,428.78,R,L,HL_ON
1067,-1,1,8,s70,L,101,441.45,R,L,BLINK_ON
1068,1,1,8,s70,L,102,448.06,L,R,BLINK_ON
1069,1,1,8,s70,L,103,453.35,L,R,BLINK_ON
1070,1,1,8,s70,L,104,457.29,L,R,BLINK_ON
1071,1,1,8,s70,L,105,461.78,L,R,BLINK_ON
1072,-1,-1,8,s70,R,106,467.44,R,R,BLINK_ON
1073,-1,1,8,s70,R,107,470.74,L,R,BLINK_ON
1074,-1,-1,8,s70,R,108,473.56,R,R,BLINK_ON
1076,1,1,8,s70,R,110,486.5,R,L,HL_ON
1078,-1,1,8,s70,R,112,492.72,L,R,HL_ON
1079,1,1,8,s70,R,113,499.87,R,L,BLINK_ON
1080,-1,-1,8,s70,R,114,501.73,R,R,BLINK_ON
1082,1,1,8,s70,R,116,510.85,R,L,HL_ON
1083,1,1,8,s70,R,117,515.08,R,L,BLINK_ON
1084,-1,1,8,s70,R,118,520.03,L,R,BLINK_ON
1085,-1,1,8,s70,R,119,523.52,L,R,HL_ON
1086,1,1,8,s70,R,120,528.83,R,L,HL_ON
1087,1,1,8,s70,R,121,534.48,R,L,HL_ON
1089,-1,1,8,s70,R,123,539.51,L,R,BLINK_ON
1090,-1,-1,8,s70,R,124,541.63,R,R,HL_ON
1091,1,1,8,s70,R,125,546.47,R,L,BLINK_ON
